2026-08-05T13:31:26+00:00,"Controlled test of minimum_body_ratio=0.82, maximum_wick_ticks=1.75 against production defaults.",candle-quality+wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-08-05T13:31:31+00:00,Controlled test of ema_slope_lookback=4 against production defaults.,trend-filter,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T13:31:36+00:00,"Controlled test of ema_length=45, maximum_wick_ticks=1.75 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-08-05T13:46:22+00:00,"Controlled test of entry_model=zone_reclaim, expiry_bars=4, origin_zone_atr_fraction=0.12, reclaim_buffer_ticks=1, maximum_entry_displacement_atr=0.3 against production defaults.",entry-model,worst_fold_net_r=-1.027778;total_net_r=0.952222;overall_profit_factor=1.9264861;negative_overall_drawdown_r=-1.027778;total_trades=2,DISCARDED
2026-08-05T13:46:27+00:00,Controlled test of ema_length=55 against production defaults.,trend-filter,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T13:46:32+00:00,"Controlled test of ema_length=45, tolerance_ticks=1.0 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-08-05T13:46:38+00:00,Controlled test of tolerance_ticks=1.0 against production defaults.,wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
2026-08-05T13:46:43+00:00,"Controlled test of entry_model=zone_reclaim, expiry_bars=3, origin_zone_atr_fraction=0.1, reclaim_buffer_ticks=2, invalidate_on_trend_change=False against production defaults.",entry-model,worst_fold_net_r=0;total_net_r=1.976471;overall_profit_factor=1e+12;negative_overall_drawdown_r=-0;total_trades=1,DISCARDED
2026-08-05T13:46:48+00:00,Controlled test of ema_slope_lookback=6 against production defaults.,trend-filter,worst_fold_net_r=-2.064939;total_net_r=8.520054;overall_profit_factor=1.9201599;negative_overall_drawdown_r=-4.20026;total_trades=18,DISCARDED
2026-08-05T13:46:53+00:00,"Controlled test of ema_length=45, maximum_wick_ticks=1.5 against production defaults.",trend-filter+wick-detection,worst_fold_net_r=-3.086917;total_net_r=5.519353;overall_profit_factor=1.5368343;negative_overall_drawdown_r=-5.222238;total_trades=18,DISCARDED
